longitude,latitude,addr:housenumber,addr:street,addr:county,addr:postcode
7650.0379,228252.3774,1104,Railroad Avenue,Augusta County,24439
6964.6403,228238.7665,172,Ramsey Gap Road,Augusta County,24439
7213.3024,228213.949,149,Ramsey Gap Road,Augusta County,24439
6926.8235,228207.6839,174,Ramsey Gap Road,Augusta County,24439
7656.0511,228203.902,1150,Railroad Avenue,Augusta County,24439
7460.0516,228197.3826,5521,Little Calf Pasture Highway,Augusta County,24439
7811.5087,228198.8709,1090,Railroad Avenue,Augusta County,24439
7226.32,228049.3704,91,Ramsey Gap Road,Augusta County,24439
7583.4272,227989.5809,1214,Railroad Avenue,Augusta County,24439
7264.0277,227942.5288,5613,Little Calf Pasture Highway,Augusta County,24439
7321.7829,227903.8171,1220,Railroad Avenue,Augusta County,24439
7040.1184,227891.2598,46,Ramsey Gap Road,Augusta County,24439
7214.6178,227891.6086,5631,Little Calf Pasture Highway,Augusta County,24439
7175.8326,227845.7273,5647,Little Calf Pasture Highway,Augusta County,24439
7134.0101,227837.0188,5655,Little Calf Pasture Highway,Augusta County,24439
7123.0098,227817.3751,5657,Little Calf Pasture Highway,Augusta County,24439
7099.1613,227801.4521,11,Ramsey Gap Road,Augusta County,24439
6892.6472,227771.4149,28,Ramsey Gap Road,Augusta County,24439
7014.4703,227741.3389,18,Ramsey Gap Road,Augusta County,24439
7006.3307,227709.4142,13,Jeff Gordons Lane,Augusta County,24439
6973.3195,227679.2853,31,Jeff Gordons Lane,Augusta County,24439
6943.0726,227652.8454,35,Jeff Gordons Lane,Augusta County,24439
6915.7123,227625.5615,51,Jeff Gordons Lane,Augusta County,24439
6875.118,227584.2561,55,Jeff Gordons Lane,Augusta County,24439
8174.1619,226903.9719,301,Old Mccutheon Lane,Augusta County,24439
2750.4819,230718.959,3923,Marble Valley Road,Augusta County,24439
7830.7048,229724.774,5161,Little Calf Pasture Highway,Augusta County,24439
9129.5179,232429.6796,2601,Archer Run Road,Augusta County,24439
9008.0875,230301.4827,4935,Little Calf Pasture Highway,Augusta County,24439
8852.0405,230086.2721,4933,Little Calf Pasture Highway,Augusta County,24439
10422.8305,229602.5703,209,Little River Road,Augusta County,24439
10614.5006,229394.1624,248,Little River Road,Augusta County,24439
8934.8201,229002.5471,513,Bashaw Road,Augusta County,24439
8666.8135,228888.0882,544,Bashaw Road,Augusta County,24439
8901.0392,228874.2326,497,Bashaw Road,Augusta County,24439
8814.2055,228828.3106,486,Bashaw Road,Augusta County,24439
8795.8261,228752.5837,458,Bashaw Road,Augusta County,24439
10968.8748,228753.8633,448,Little River Road,Augusta County,24439
8753.519,228653.974,456,Bashaw Road,Augusta County,24439
9829.5916,228615.627,503,Little River Road,Augusta County,24439
8689.6895,228519.9001,414,Bashaw Road,Augusta County,24439
9915.7898,228377.9484,518,Little River Road,Augusta County,24439
9823.4069,228319.4028,562,Little River Road,Augusta County,24439
9690.4913,228239.8998,578,Little River Road,Augusta County,24439
8922.1508,228111.6219,357,Bashaw Road,Augusta County,24439
9542.7386,228067.3232,671,Little River Road,Augusta County,24439
9501.612,228033.6626,675,Little River Road,Augusta County,24439
9407.3547,227978.5753,705,Little River Road,Augusta County,24439
9411.9652,227950.4487,711,Little River Road,Augusta County,24439
9457.2641,227852.4491,726,Little River Road,Augusta County,24439
8858.6272,227651.6501,172,Bashaw Road,Augusta County,24439
9764.8108,227232.818,175,Wallace Mill Road,Augusta County,24439
9405.3461,227229.1718,897,Little River Road,Augusta County,24439
9802.1235,227220.7418,159,Wallace Mill Road,Augusta County,24439
9394.2326,227197.8474,899,Little River Road,Augusta County,24439
9549.0948,227181.0828,2490,Estaline Valley Road,Augusta County,24439
9466.929,227173.7247,2513,Estaline Valley Road,Augusta County,24439
9869.7123,227158.279,149,Wallace Mill Road,Augusta County,24439
9332.3426,227153.7088,2541,Estaline Valley Road,Augusta County,24439
9496.581,227144.0363,2510,Estaline Valley Road,Augusta County,24439
9451.9709,227113.5973,2518,Estaline Valley Road,Augusta County,24439
9292.0477,227043.7066,2571,Estaline Valley Road,Augusta County,24439
9370.3402,227032.1837,2556,Estaline Valley Road,Augusta County,24439
9239.6012,226869.0472,2612,Estaline Valley Road,Augusta County,24439
10358.671,226851.4367,6,Summertime Lane,Augusta County,24439
9165.495,226754.4478,9,Mccutchen School Lane,Augusta County,24439
9153.6576,226740.5266,2648,Estaline Valley Road,Augusta County,24439
10295.2498,226749.4198,4,Summertime Lane,Augusta County,24439
10347.5637,226662.2337,29,Summertime Lane,Augusta County,24439
10589.7229,226664.2795,84,Summertime Lane,Augusta County,24439
9337.0747,226613.778,65,Mccutchen School Lane,Augusta County,24439
9000.9386,226613.8909,2696,Estaline Valley Road,Augusta County,24439
9385.5264,226579.6165,75,Mccutchen School Lane,Augusta County,24439
10275.1979,226581.3816,38,Golden Brook Lane,Augusta County,24439
8945.3346,226538.6441,2719,Estaline Valley Road,Augusta County,24439
9109.1654,226531.1444,23,Mccutchen School Lane,Augusta County,24439
10619.5047,226546.5754,104,Summertime Lane,Augusta County,24439
10343.4202,226541.1584,4,Golden Brook Lane,Augusta County,24439
10163.7927,226522.8148,62,Golden Brook Lane,Augusta County,24439
9478.5123,226510.349,103,Mccutchen School Lane,Augusta County,24439
10136.2037,226504.4881,64,Golden Brook Lane,Augusta County,24439
9495.8459,226453.7649,119,Mccutchen School Lane,Augusta County,24439
9554.6209,226426.8129,125,Mccutchen School Lane,Augusta County,24439
10113.885,226410.0042,97,Golden Brook Lane,Augusta County,24439
9602.3828,226396.9419,15,Campbell Town Lane,Augusta County,24439
9475.3375,226379.897,29,Valley Lane,Augusta County,24439
9518.9576,226346.7828,31,Valley Lane,Augusta County,24439
9502.1476,226324.6903,37,Valley Lane,Augusta County,24439
9639.9023,226285.2646,39,Campbell Town Lane,Augusta County,24439
9485.4151,226215.5613,65,Valley Lane,Augusta County,24439
9712.2559,226099.9192,70,Valley Lane,Augusta County,24439
9437.8069,225838.6926,160,Valley Lane,Augusta County,24439
10034.8493,225531.7052,279,Campbell Town Lane,Augusta County,24439
9863.6782,225090.7145,390,Valley Lane,Augusta County,24439
9834.8624,224962.4969,391,Valley Lane,Augusta County,24439
10730.9683,229702.2218,110,Little River Road,Augusta County,24439
9206.1946,228519.4013,489,Bashaw Road,Augusta County,24439
13721.6334,233562.7722,440,Archer Run Road,Augusta County,24439
